ticker;free_cash_flow;capital_expenditure;changes_in_cash;financing_cash_flow;operating_cash_flow;investing_cash_flow;change_in_working_capital;change_in_receivables;depreciation_and_amortization;net_ppe_purchase_and_sale
AAPL;104339000000;-8702000000;-3263000000;-120188000000;113041000000;3884000000;-9017000000;-3340000000;11187000000;-8702000000
MSFT;74071000000;-44477000000;-16179000000;-37757000000;118548000000;-96970000000;1824000000;-7191000000;22287000000;-44477000000
GOOGL;60787000000;-44272000000;2104000000;-78293000000;105059000000;-24662000000;-15887000000;-9229000000;13608000000;-44272000000
AMZN;48340000000;-59612000000;22158000000;-21440000000;107952000000;-64354000000;-6898000000;-3227000000;49673000000;-54979000000
NVDA;46786000000;-1878000000;2689000000;-27819000000;48664000000;-18156000000;-5278000000;-7066000000;1602000000;-1878000000
BRK-B;32298000000;-19939000000;-7533000000;-13720000000;52237000000;-46050000000;12151000000;-1900000000;12705000000;-19939000000
META;49641000000;-28781000000;3620000000;-45221000000;78422000000;-29581000000;-2784000000;-2171000000;13042000000;-28661000000
TSLA;1717000000;-9815000000;-457000000;5886000000;11532000000;-17875000000;-2343000000;-367000000;4991000000;-9815000000
UNH;6206000000;-3393000000;-15209000000;-7225000000;9599000000;-17583000000;-18596000000;-5782000000;3998000000;-3393000000
JNJ;19833000000;-4809000000;3948000000;-7882000000;24642000000;-12812000000;1855000000;-1188000000;7269000000;-4339000000
V;18960000000;-1253000000;-1629000000;-18144000000;20213000000;-3698000000;-13969000000;69000000;1007000000;-1253000000
XOM;32412000000;-22457000000;-2724000000;-38154000000;54869000000;-19439000000;-2978000000;NULL;NULL;-22457000000
PG;16524000000;-3322000000;1487000000;-14855000000;19846000000;-3504000000;-436000000;-766000000;2896000000;NULL
LLY;-3628100000;-8137900000;489600000;5360900000;4509800000;-9381100000;-5529200000;NULL;1613700000;-4252000000
MA;10996000000;-1177000000;277000000;-10692000000;12173000000;-1204000000;-2779000000;-683000000;857000000;-453000000
HD;16778000000;-3095000000;-1116000000;936000000;19873000000;-21925000000;1188000000;235000000;3416000000;NULL
CVX;18141000000;-17089000000;-5377000000;-24216000000;35230000000;-16391000000;-2334000000;-910000000;15601000000;NULL
MRK;13147000000;-3543000000;5852000000;-8112000000;16690000000;-2726000000;-2073000000;NULL;4094000000;NULL
ABBV;17780000000;-858000000;4391000000;-2388000000;18638000000;-11859000000;-65000000;-183000000;8516000000;-858000000
PEP;7032000000;-5706000000;613000000;-6599000000;12738000000;-5526000000;-905000000;-601000000;3659000000;203000000
KO;9054000000;-2029000000;1653000000;-7844000000;11083000000;-1586000000;-2074000000;NULL;1092000000;-1972000000
PFE;4810000000;-3195000000;-1496000000;-5727000000;8005000000;-3776000000;380000000;NULL;6697000000;-3195000000
AVGO;18655000000;-531000000;-2103000000;1773000000;19186000000;-23062000000;-3545000000;1847000000;8331000000;-531000000
COST;7417000000;-4689000000;-2037000000;-9612000000;12106000000;-4531000000;1546000000;NULL;2219000000;-4689000000
TMO;7963000000;-1385000000;4000000000;-1509000000;9348000000;-3840000000;753000000;NULL;3319000000;-1288000000
MCD;7094300000;-2502600000;-763700000;-5251900000;9596900000;-5111700000;79500000;NULL;2007500000;95200000
WMT;11985000000;-21897000000;-4674000000;-17050000000;33882000000;-21506000000;-1188000000;-832000000;12442000000;-21488000000
CSCO;10210000000;-670000000;-2754000000;6844000000;10880000000;-20478000000;-4298000000;-213000000;2507000000;-670000000
ACN;8667817000;-483167000;-2845609000;-5114859000;9150984000;-6881734000;-1823156000;-89332000;1412015000;-483167000
ABT;5654000000;-2246000000;-795000000;-6359000000;7900000000;-2336000000;-2834000000;-869000000;3247000000;-2246000000
DHR;5081000000;-1366000000;-6231000000;-5651000000;6447000000;-7027000000;-722000000;163000000;2257000000;-1355000000
NFLX;6819136000;-339562000;-837342000;-8549706000;7158698000;553666000;-158934000;NULL;15113615000;-339562000
LIN;4850000000;-4280000000;1427000000;-3220000000;9130000000;-4483000000;-932000000;-333000000;3815000000;NULL
VZ;13932000000;-22092000000;-2451000000;-16133000000;36024000000;-22342000000;-3219000000;NULL;17875000000;NULL
ADBE;6550000000;-182000000;575000000;-6440000000;6732000000;283000000;-876000000;38000000;861000000;-182000000
NKE;6617000000;-812000000;2435000000;-5888000000;7429000000;894000000;716000000;-329000000;844000000;-812000000
TXN;1494000000;-4955000000;-699000000;-1814000000;6449000000;-5334000000;278000000;245000000;1400000000;NULL
CRM;11461000000;-613000000;921000000;-10621000000;12074000000;-532000000;-2215000000;12000000;3601000000;NULL
NEE;4191000000;-9361000000;-646000000;10581000000;13552000000;-24779000000;-334000000;NULL;6166000000;-319000000
PM;10121000000;-1469000000;1477000000;-7059000000;11590000000;-3054000000;846000000;-372000000;1610000000;NULL
BMY;12945000000;-1218000000;-2102000000;6428000000;14163000000;-22693000000;-1027000000;-1295000000;10027000000;NULL
COP;9299000000;-11313000000;-1394000000;-7478000000;20612000000;-14528000000;-514000000;-765000000;NULL;NULL
QCOM;12567000000;-1078000000;1602000000;-8187000000;13645000000;-3856000000;3783000000;886000000;1729000000;16000000
HON;5478000000;-1105000000;992000000;398000000;6583000000;-5989000000;429000000;314000000;1209000000;30000000
MS;-10629000000;-3509000000;-13510000000;14508000000;-7120000000;-20898000000;-23913000000;-10166000000;4640000000;-3509000000
ORCL;11271000000;-7855000000;-1048000000;-11611000000;19126000000;-8563000000;-982000000;-1426000000;6092000000;NULL
RTX;7974000000;-3128000000;639000000;-8586000000;11102000000;-1877000000;5237000000;-1299000000;4264000000;NULL
INTC;-12584000000;-24101000000;2938000000;15861000000;11517000000;-24440000000;-3601000000;-134000000;10080000000;-24101000000
AMGN;5481000000;-965000000;-24947000000;-3608000000;6446000000;-27785000000;-1415000000;-465000000;5074000000;-965000000
SPGI;4711000000;-140000000;500000000;-3938000000;4851000000;-413000000;-262000000;-141000000;1151000000;NULL
IBM;12095000000;-1658000000;5279000000;-7385000000;13753000000;-1088000000;1122000000;NULL;4531000000;-687000000
GS;-77902000000;-2092000000;-61150000000;39258000000;-75810000000;-24598000000;-92733000000;NULL;3565000000;1371000000
CAT;10046000000;-3090000000;-2979000000;-12362000000;13136000000;-3753000000;-61000000;-217000000;2125000000;755000000
BLK;4258000000;-273000000;3432000000;-784000000;4531000000;-315000000;20000000;-214000000;438000000;-273000000
UPS;4647000000;-5306000000;1613000000;-4719000000;9953000000;-3621000000;-437000000;-116000000;3489000000;NULL
MDT;5145000000;-1753000000;132000000;-4680000000;6898000000;-2086000000;-566000000;-445000000;2637000000;-1753000000
SCHW;8885000000;-540000000;-11992000000;-68813000000;9425000000;47396000000;1887000000;-7732000000;1421000000;-540000000
UNP;4856000000;-3698000000;304000000;-4665000000;8554000000;-3585000000;-349000000;-292000000;2359000000;NULL
DE;5011000000;-4821000000;615000000;-1360000000;9832000000;-7857000000;-393000000;-1640000000;2075000000;-2834000000
LOW;7580000000;-2007000000;866000000;-6735000000;9587000000;-1986000000;-67000000;NULL;1949000000;58000000
GILD;6896000000;-572000000;-2934000000;-6932000000;7468000000;-3470000000;-4097000000;-487000000;2756000000;NULL
CVS;5273000000;-2799000000;-1307000000;-3647000000;8072000000;-5732000000;-3894000000;-2658000000;4550000000;-2799000000
SBUX;3826200000;-2678800000;-160500000;-3951400000;6505000000;-2714100000;-968300000;-3700000;1567500000;-2678800000
INTU;4634000000;-250000000;4260000000;-397000000;4884000000;-227000000;-429000000;-100000000;789000000;-191000000
NOW;3053000000;-824000000;509000000;-1294000000;3877000000;-2074000000;-107000000;-436000000;566000000;-794000000
PLD;5185536000;NULL;86354000;-1485076000;5185536000;-3614106000;268154000;462460000;2555166000;NULL
AXP;23309000000;-1788000000;9973000000;8609000000;25097000000;-23733000000;9135000000;NULL;1662000000;-1788000000
MO;8824000000;-157000000;913000000;-11922000000;8981000000;3854000000;58000000;63000000;297000000;NULL
BKNG;7506000000;-441000000;1788000000;-6304000000;7947000000;145000000;1478000000;-1488000000;702000000;-441000000
T;20988000000;-17366000000;-6419000000;-27377000000;38354000000;-17396000000;-2445000000;-1281000000;19590000000;NULL
ISRG;419500000;-1243100000;-390200000;33600000;1662600000;-2086400000;-1232900000;-204600000;452900000;-1243100000
MMC;3629000000;-398000000;598000000;-1730000000;4027000000;-1699000000;-1325000000;-725000000;731000000;NULL
EL;1441000000;-919000000;-635000000;-2035000000;2360000000;-960000000;631000000;-285000000;825000000;NULL
LMT;6951000000;-1816000000;-1150000000;-8072000000;8767000000;-1845000000;358000000;-402000000;1481000000;NULL
SYK;2803000000;-612000000;501000000;-2092000000;3415000000;-822000000;-1115000000;-380000000;1030000000;-612000000
BA;-5704000000;-1822000000;3637000000;5144000000;-3882000000;2375000000;-4375000000;-219000000;1831000000;-1690000000
ADP;3594200000;-563400000;1336900000;-1431700000;4157600000;-1389000000;-1417400000;-483700000;561900000;28300000
MDLZ;3604000000;-1283000000;-21000000;-5623000000;4887000000;715000000;-861000000;-190000000;1258000000;NULL
ZTS;2103000000;-615000000;-126000000;-2100000000;2718000000;-744000000;-206000000;-98000000;503000000;NULL
GE;5154000000;-1704000000;528000000;-7311000000;6858000000;670000000;1603000000;835000000;2074000000;-1576000000
AMT;3427400000;-1637200000;618600000;-2941700000;5064600000;-1504300000;-767200000;NULL;2638900000;-1637200000
TMUS;10959000000;-9799000000;-161000000;-14840000000;20758000000;-6079000000;-6527000000;-3754000000;13124000000;-8674000000
MU;-1376000000;-6727000000;-1670000000;-1480000000;5351000000;-5541000000;-1961000000;-2527000000;7731000000;NULL
PYPL;6701000000;-614000000;3706000000;899000000;7315000000;-4508000000;-601000000;-68000000;1061000000;-609000000
C;-23372000000;-6709000000;-45347000000;-4621000000;-16663000000;-24063000000;-45825000000;NULL;4524000000;219000000
CI;7960000000;-1438000000;-2174000000;-8660000000;9398000000;-2912000000;616000000;-9039000000;3010000000;-1438000000
CB;15165000000;NULL;352000000;-3361000000;15165000000;-11452000000;4250000000;-2136000000;328000000;NULL
APD;-2491800000;-6184400000;760600000;3358400000;3692600000;-6290400000;98600000;256600000;1427600000;-6184400000
F;5275000000;-8701000000;-5987000000;3429000000;13976000000;-23392000000;1605000000;-7649000000;6325000000;NULL
MRNA;-3979000000;-738000000;-1342000000;-119000000;-3241000000;2018000000;345000000;69000000;528000000;-738000000
EQIX;325577000;-2968018000;-307323000;-106554000;3293595000;-3494364000;-172323000;-138345000;1941138000;-2968018000
ICE;3346000000;-596000000;-12772000000;-6845000000;3942000000;-9869000000;-296000000;-83000000;1450000000;NULL
GM;-6553000000;-25934000000;-848000000;-3403000000;19381000000;-16826000000;-1920000000;NULL;12426000000;-1778000000
EW;538500000;-327600000;565700000;-591400000;866100000;291000000;-708100000;-48900000;151700000;NULL
DUK;-1023000000;-12543000000;-84000000;938000000;11520000000;-12542000000;1229000000;-162000000;6268000000;NULL
SO;-440000000;-9092000000;-1033000000;-83000000;8652000000;-9602000000;187000000;-537000000;5122000000;-9092000000
REGN;3184400000;-886100000;-20700000;-1284400000;4070500000;-2806800000;-721700000;-593500000;453200000;NULL
PGR;13121500000;-236500000;-77800000;-1350600000;13358000000;-12085200000;6164200000;-1635700000;296600000;-172300000
HUM;-5054000000;-808000000;-10713000000;-3584000000;-4246000000;-2883000000;-7485000000;-2661000000;958000000;-598000000
PSA;2758816000;-469404000;-108635000;32033000;3228220000;-3368888000;29854000;NULL;1094818000;NULL
